iso3,date,cpi,fx,policy_rate,money_market_rate,exports_usd,imports_usd,reserves_total_usd,reserves_exgold_usd,xprice_ix,mprice_ix,shock_ix,shock_rw_ix,vintage,log_cpi,infl_yoy,infl_mom,infl_yoy_w,d_log_fx_12m,fx_vol_12m,log_shock,d_shock_12m,shock_pos,shock_neg,log_reserves,monthly_imports_approx,reserves_months,state_peg,low_buffer,d_policy_rate_12m,d_log_exports_usd_12m,d_log_imports_usd_12m
AGO,1990-01-01,,2.9918e-08,,,287027242.3575501,128045349.3714979,,,64.3181762695313,99.1501007080078,64.8695755004883,53.3174057006836,2026-08,,,,,,,4.172378723354136,,,,,,,,,,,
AGO,1990-02-01,,2.9918e-08,,,396650057.9009129,127028918.2938883,,,63.3136978149414,99.1382217407227,63.8641357421875,52.8825988769531,2026-08,,,,,,,4.156757947829582,,,,,,,,,,,
AGO,1990-03-01,,2.9918e-08,,,299608821.2214621,162245322.3181173,,,61.7162590026856,99.1408920288086,62.2511367797852,52.1772117614746,2026-08,,,,,,,4.131176796700731,,,,,,,,,,,
AGO,1990-04-01,,2.9918e-08,,,184081057.0459591,137853614.6000166,,,59.5661811828613,99.1140899658203,60.0986709594727,51.2284774780273,2026-08,,,,,,,4.095987727477558,,,,,,,,,,,
AGO,1990-05-01,,2.9918e-08,,,200173805.5143956,152147457.1570451,,,59.5316047668457,99.1029052734375,60.0705680847168,51.210376739502,2026-08,,,,,,,4.095520005862746,,,,,,,,,,,
AGO,1990-06-01,,2.9918e-08,,,280641382.8903782,133464074.9803314,,,57.583667755127,99.0177307128906,58.154972076416,50.3505859375,2026-08,,,,,,,4.063111379632964,,,,,,,,,,,
AGO,1990-07-01,,2.9918e-08,,,233044096.9883045,125886380.3875577,,,60.0840606689453,99.0127563476563,60.6832122802734,51.4725761413574,2026-08,,,,,,,4.105667091119265,,,,,,,,,,,
AGO,1990-08-01,,2.9918e-08,,,238912225.730448,134597453.0397834,,,70.1772308349609,99.1450729370117,70.7824401855469,55.7696304321289,2026-08,,,,,,,4.259610949959482,,,,,137658571.2685297,,,,,,
AGO,1990-09-01,,2.9918e-08,,,325558063.8314336,118367920.6920094,,,75.8838653564453,99.2159957885742,76.4835815429688,58.0675315856934,2026-08,,,,,,0.0,4.337076097444897,,,,,135515165.64891636,,0.0,,,,
AGO,1990-10-01,,2.9918e-08,,,523791746.4426498,172985416.9461584,,,77.2828063964844,99.2029342651367,77.9038314819336,58.6370658874512,2026-08,,,,,,0.0,4.355475136287636,,,,,139262190.77864057,,1.0,,,,
AGO,1990-11-01,,2.9918e-08,,,420700961.2523829,150515158.9752268,,,74.2464294433594,99.1432876586914,74.8880844116211,57.4558029174805,2026-08,,,,,,0.0,4.315994791240333,,,,,140285187.8874211,,1.0,,,,
AGO,1990-12-01,,2.9918e-08,,,372460586.7981872,201670445.8290237,,,69.5312118530273,99.0644760131836,70.1879119873047,55.5500907897949,2026-08,,,,,,0.0,4.251176102291653,,,,,145400626.04922134,,1.0,,,,
AGO,1991-01-01,,2.9918e-08,,,283065765.4680694,132419389.2803697,,,66.1541213989258,99.018798828125,66.8097305297852,54.0122985839844,2026-08,,,,,0.0,0.0,4.2018487365478,2.9470013193663824,2.9470013193663824,0.0,,145765129.37496066,,1.0,,,-1.3897874902774277,3.3589584358846736
AGO,1991-02-01,,2.9918e-08,,,252868050.838489,129218977.2084972,,,60.7399787902832,98.9423828125,61.3893089294434,51.4666709899902,2026-08,,,,,0.0,0.0,4.117235698321856,-3.9522249507725427,0.0,-3.9522249507725427,,145947634.2845114,,1.0,,,-45.018661123143744,1.7093699341387492
AGO,1991-03-01,,5.9836e-08,,,177928267.457179,121342594.5205547,,,60.6155891418457,98.9329833984375,61.2694053649902,51.4162635803223,2026-08,,,,,69.31471805599436,20.00943556421568,4.115280621532809,-1.5896175167922522,0.0,-1.5896175167922522,,142539073.6347145,,1.0,,,-52.10972172834687,-29.04916205580861
AGO,1991-04-01,,5.9836e-08,,,273249421.1915122,122681075.8674009,,,60.9927368164063,98.8894577026367,61.6777496337891,51.6147079467773,2026-08,,,,,69.31471805599436,20.00943556421568,4.121923244053004,2.5935516575446016,2.5935516575446016,0.0,,141274695.40699652,,0.0,,,39.50088207876128,-11.660424946861525
AGO,1991-05-01,,5.9836e-08,,,286116736.5023715,118617369.6571438,,,61.2756233215332,98.8430557250977,61.9929122924805,51.7699012756348,2026-08,,,,,69.31471805599436,20.00943556421568,4.127020060647089,3.15000547843427,3.15000547843427,0.0,,138480521.44867143,,0.0,,,35.72138803958396,-24.894723183237133
AGO,1991-06-01,,5.9836e-08,,,233743489.0890603,151012330.0940902,,,60.1418228149414,98.8294448852539,60.8542137145996,51.2289047241211,2026-08,,,,,69.31471805599436,20.00943556421568,4.108481064605461,4.536968497249649,4.536968497249649,0.0,,139942876.04148468,,0.0,,,-18.285332318631475,12.35291493783528
